geneId,geneName,numEntries
154,ADRB2,17
59272,ACE2,17
93,ACVR2B,17
57679,ALS2,17
353,APRT,17
8289,ARID1A,17
84100,ARL6,17
6790,AURKA,17
811,CALR,17
84433,CARD11,17
1436,CSF1R,17
1311,COMP,17
9575,CLOCK,17
1030,CDKN2B,17
1235,CCR6,17
25978,CHMP2B,17
161582,DNAAF4,17
9681,DEPDC5,17
1589,CYP21A2,17
84466,MEGF10,17
4668,NAGA,17
162417,NAGS,17
4646,MYO6,17
8195,MKKS,17
64327,LMBR1,17
3708,ITPR1,17
547,KIF1A,17
3735,KARS1,17
3752,KCND3,17
3242,HPD,17
3248,HPGD,17
8504,PEX3,17
5193,PEX12,17
26227,PHGDH,17
7849,PAX8,17
5155,PDGFB,17
10714,POLD3,17
87178,PNPT1,17
5021,OXTR,17
50814,NSDHL,17
64802,NMNAT1,17
374291,NDUFS7,17
4750,NEK1,17
345895,RSPH4A,17
6295,SAG,17
6514,SLC2A2,17
55315,SLC29A3,17
5966,REL,17
85415,RHPN2,16
116442,RAB39B,16
5892,RAD51D,16
5879,RAC1,16
5885,RAD21,16
291,SLC25A4,16
10479,SLC9A6,16
6556,SLC11A1,16
6440,SFTPC,16
378884,NHLRC1,16
10908,PNPLA6,16
8575,PRKRA,16
23133,PHF8,16
84295,PHF6,16
5195,PEX14,16
5309,PITX3,16
89781,HPS4,16
3351,HTR1B,16
3329,HSPD1,16
3764,KCNJ8,16
3791,KDR,16
3697,ITIH1,16
4016,LOXL1,16
9365,KL,16
4284,MIP,16
4477,MSMB,16
2122,MECOM,16
57192,MCOLN1,16
4148,MATN3,16
4054,LTBP3,16
10892,MALT1,16
1630,DCC,16
1812,DRD1,16
1958,EGR1,16
57680,CHD8,16
3426,CFI,16
9702,CEP57,16
948,CD36,16
1378,CR1,16
1420,CRYGC,16
79092,CARD14,16
1490,CCN2,16
717,C2,16
686,BTD,16
701,BUB1B,16
29123,ANKRD11,16
18,ABAT,16
133,ADM,16
2266,FGG,16
2591,GALNT3,16
2512,FTL,16
8893,EIF2B5,16
55215,FANCI,16
10144,FAM13A,16
3000,GUCY2D,16
3073,HEXA,16
10021,HCN4,16
3145,HMBS,16
8328,GFI1B,16
6869,TACR1,16
6778,STAT6,16
4093,SMAD9,16
7050,TGIF1,16
7039,TGFA,16
10312,TCIRG1,16
9966,TNFSF15,16
85480,TSLP,15
8989,TRPA1,15
22954,TRIM32,15
161742,SPRED1,15
6658,SOX3,15
63826,SRR,15
6870,TACR3,15
6821,SUOX,15
57465,TBC1D24,15
23414,ZFPM2,15
7546,ZIC2,15
1890,TYMP,15
7287,TULP1,15
7351,UCP2,15
7415,VCP,15
2811,GP1BA,15
2915,GRM5,15
2876,GPX1,15
3107,HLA-C,15
3146,HMGB1,15
3158,HMGCS2,15
3033,HADH,15
2010,EMD,15
2113,ETS1,15
2109,ETFB,15
3169,FOXA1,15
2255,FGF10,15
83706,FERMT3,15
10939,AFG3L2,15
191,AHCY,15
224,ALDH3A2,15
38,ACAT1,15
28,ABO,15
22852,ANKRD26,15
350,APOH,15
57492,ARID1B,15
171023,ASXL1,15
6314,ATXN7,15
583,BBS2,15
8915,BCL10,15
8313,AXIN2,15
1421,CRYGD,15
493856,CISD2,15
1141,CHRNB2,15
1869,E2F1,15
10682,EBP,15
1788,DNMT3A,15
1789,DNMT3B,15
1643,DDB2,15
4035,LRP1,15
10128,LRPPRC,15
22808,MRAS,15
4621,MYH3,15
4282,MIF,15
3699,ITIH3,15
3718,JAK3,15
8660,IRS2,15
23095,KIF1B,15
11009,IL24,15
3605,IL17A,15
80025,PANK2,15
57526,PCDH19,15
5373,PMM2,15
64840,PORCN,15
58484,NLRC4,15
387129,NPSR1,15
284086,NEK8,15
4760,NEUROD1,15
10397,NDRG1,15
23451,SF3B1,15
11280,SCN11A,15
6567,SLC16A2,15
6506,SLC1A2,15
60386,SLC25A19,15
6578,SLCO2A1,15
2542,SLC37A4,15
5913,RAPSN,15
26121,PRPF31,15
6016,RIT1,15
6101,RP1,15
79621,RNASEH2B,15
6023,RMRP,14
5921,RASA1,14
25782,RAB3GAP2,14
5831,PYCR1,14
6569,SLC34A1,14
8604,SLC25A12,14
6583,SLC22A4,14
788,SLC25A20,14
6439,SFTPB,14
864,RUNX3,14
6445,SGCG,14
84947,SERAC1,14
54820,NDE1,14
4784,NFIX,14
4729,NDUFV2,14
190,NR0B1,14
4882,NPR2,14
10002,NR2E3,14
261734,NPHP4,14
55651,NHP2,14
4952,OCRL,14
11284,PNKP,14
5424,POLD1,14
5500,PPP1CB,14
5073,PARN,14
5160,PDHA1,14
27445,PCLO,14
5313,PKLR,14
3549,IHH,14
57560,IFT80,14
3028,HSD17B10,14
3240,HP,14
3209,HOXA13,14
3766,KCNJ10,14
